query,rewritten
"who tried to kill julie in desperate housewives","Who attempted to murder (kill, assassinate) Julie Mayer in the TV show Desperate Housewives?"
"what do therapeutic antibodies do","What do therapeutic antibodies (medicinal antibodies, immunotherapy) accomplish (function, purpose)?"
"What are the three groups of people the author is losing tolerance for?","What are the three categories (classes, types) of individuals the author is becoming increasingly intolerant (impatient, frustrated) of?"
"UNF average tuition","What is the average tuition (cost, fees) at the University of North Florida (UNF)?"
"how many episodes are there in who are you school 2015","How many episodes are there in the 2015 South Korean television series ""Who Are You: School 2015""?"
"nosql sharding definition","What is the definition of sharding (data partitioning, horizontal partitioning) in NoSQL (non-relational, distributed) databases?"
"is peanut butter good for dogs to eat","Is peanut butter (nut butter) a healthy (safe, nutritious) food for dogs to consume (eat, ingest)?"
"who does captain america fight on the ship","Who does Captain America battle (fight, combat) against on the Helicarrier (ship, vessel)?"
"how much flax seeds to consume daily","What is the recommended daily intake (dosage, amount) of flaxseeds (linseeds) for optimal health benefits?"
"when does sarah go to prison in prison break","In what season (episode) of Prison Break does Sarah go to jail (incarceration, imprisonment)?"
"What is Google's vision for the Internet according to Vic Gundotra, engineering VP at Google?","What is Google's vision (mission, strategy) for the Internet according to Vic Gundotra, engineering VP (vice president, executive) at Google?"
"what type of government is a totalitarian dictatorship","What type of regime is a totalitarian (authoritarian, autocratic) dictatorship (autocracy, oppressive government)?"
"What is the recommended first aid procedure after a snakebite?","What is the standard emergency response (first aid, medical treatment) protocol following a snake bite (venomous attack, serpent attack)?"
"what is the difference between assassin's creed 3 and liberation","What are the key differences between Assassin's Creed 3 and Liberation (AC3 vs AC: Liberation)?"
"when did the us drop bombs on hiroshima and nagasaki","What are the dates (timeline) of the US atomic bombings (nuclear attacks) of Hiroshima and Nagasaki?"
"when was the roman colosseum built and finished","What is the construction (building) timeline of the Roman Colosseum, including its start and completion (finish) dates?"
"where do portuguese man of war jellyfish live","What are the habitats (environments, territories) of Portuguese man-of-war jellyfish?"
"what's the difference between marksman and sniper bf1","What is the distinction (difference, contrast) between a marksman and a sniper in Battlefield 1 (BF1)?"
"where do all the elder scrolls games take place","In what locations (settings, worlds) do all the Elder Scrolls games take place (occur, happen)?"
"cost install bathtub tile","What is the expense (cost, price) of installing a bathtub with tile (ceramic, porcelain) surround?"
"what happened at the end of iron man 2","What is the plot conclusion (ending, finale) of Iron Man 2?"
"what role does the fda play in the regulation of the nation's food supply","What role does the FDA (Food and Drug Administration) play in the oversight (supervision, regulation) of the nation's food (culinary, edible) supply (provisions, inventory)?"
"What is the ""fine-grained urbanism"" concept proposed by urbanist Andrew Price in the context of Long Beach's development?","What is the concept of ""fine-grained urban planning"" (intricate, detailed urban design) proposed by urbanist Andrew Price in the context of Long Beach's urban development (growth, revitalization)?"
"What is the base engine of the 2019 Chevrolet Corvette?","What is the standard (base, default) powertrain (engine, motor) of the 2019 Chevrolet Corvette?"
"where was the first oil well drilled in oklahoma","What is the location (site, position) of the first oil well drilled in Oklahoma, and what was its exact spot (place, area)?"
"how many times has the nba finals mvp been on the losing team","How many times has the NBA Finals MVP award been given to a player from the defeated (losing) team?"
"what does a dna sequencer do","What does a DNA sequencer (genetic analyzer) do: explain the function (purpose, role) of a DNA sequencer in genetics (molecular biology)?"
"when did all about that base come out","When was ""All About That Bass"" (song, single, hit) by Meghan Trainor released?"
"how many cylinders does a bugatti veyron super sport have","What is the cylinder count (number of cylinders) of a Bugatti Veyron Super Sport engine?"
"is the book of mark in the new testament","Is the Gospel of Mark (scripture, biblical text) part of the New Testament (Christian scripture, holy book)?"
"What are the normal ranges for pH, pCO2, Sodium, and Potassium in arterial blood results?","What are the normal values (ranges, levels) for pH, pCO2, Sodium, and Potassium in arterial blood gas (ABG) test results?"
"who do you kill in god of war 4","Who are the main enemies (adversaries, foes) to defeat in God of War 4 (God of War IV, GoW 4)?"
"is loch ness landlocked","Is Loch Ness a landlocked (inland, freshwater) lake?"
"how sharper than a serpent's tooth it is to have a thankless child","What is the pain (anguish, heartache) of having an ungrateful (unappreciative, ingrate) child, as stated in the quote ""how sharper than a serpent's tooth it is to have a thankless child""?"
"What is the primary use of Bicalutamide 150mg film-coated tablets?","What is the main purpose (primary use, indication) of Bicalutamide 150mg film-coated tablets (medication, pills)?"
"what did the canadian pacific railway symbolize","What did the Canadian Pacific Railway (CPR) represent (symbolize, signify, embody) in Canadian history and identity?"
"What is the role of the leader and the sweeper in the Drop-Off System for group rides?","What are the responsibilities (functions, duties) of the leader and the sweeper (trailblazer, rearguard) in the Drop-Off System for group cycling (biking, ride-sharing) events?"
"gas heating system vs electric","What are the advantages and disadvantages of gas (natural gas, propane) heating systems compared to electric heating systems?"
"Who are the three players looking to impress offensive co-ordinator Gary Crowton?","Which three players are trying to make a good impression on offensive coordinator Gary Crowton?"
"what is the american indian name for mount rushmore","What is the Native American (indigenous, Aboriginal) name for Mount Rushmore?"
"explain why the food chain is represented as a pyramid","What is the reasoning (explanation, justification) behind depicting the food chain as a pyramid structure (shape, diagram)?"
"who plays the role of hermione granger in harry potter","Who portrays (plays, acts) the character of Hermione Granger in the Harry Potter film series?"
"What are the four main laboratories in the Academy?","What are the primary (main, key) research laboratories in the Academy?"
"what grades are needed to become a pilot","What are the required academic grades (marks, scores) to become a licensed airplane pilot (aviator, flight officer)?"
"11) when the jana-gana-mana adopted by the constituent assembly as the national anthem","When was Jana-Gana-Mana (national song, anthem) adopted by the Constituent Assembly as the national anthem of India?"
"when did farm subsidies begin in the u.s","When did agricultural subsidies (support, aid) originate (start, begin) in the United States of America (USA)?"
"What milestone did the author reach on their Summer Friends blog?","What notable achievement (milestone, landmark) did the writer attain on their Summer Friends blog (online journal, website)?"
"What is the purpose of the demo site mentioned in the context?","What is the objective (goal, intention) of the demonstration (demo) website (site, platform) mentioned in the given context (scenario, situation)?"
"who does the voice of bruce on family guy","Who provides the voice (vocal talent, actor) of Bruce (character, persona) on the animated TV show Family Guy?"
"what is an usher for showcase cinema","What is the role (function, purpose) of an usher (assistant, attendant) in a movie theater (cinema, picture house) for a film (movie, showcase) presentation?"
"what does bank account mean","What does a bank account (financial account, deposit account) mean?"
"what does pan pan pan mean in aviation","What does ""Pan-Pan-Pan"" mean in aviation (aircraft, flying), and what are its implications (significance, consequences) for pilots (aircrew, flight crew)?"
"what is it called when achilles tendon pain","What is the term for Achilles tendon inflammation (tendinitis, tendinosis) or pain (discomfort, soreness)?"
"hepatitis b vaccine how long is it good for","What is the duration (length, period) of protection offered by the Hepatitis B vaccine (immunization, inoculation)?"
"what is the oldest line on the london underground","What is the oldest route (line, track) on the London Underground (Tube, Metro, Subway)?"
"why is the english bulldog the marine corps mascot","What is the reason (explanation, origin) behind the English Bulldog being the official mascot of the United States Marine Corps?"
"where is the i am feeling lucky button","Where is the ""I'm Feeling Lucky"" button (fortunate, chance) in Google search?"
"What is the author's perspective on the statement ""SEO is Dead""?","What is the writer's (author's, creator's) viewpoint (opinion, stance) on the assertion (claim, statement) ""SEO is Dead""?"
"in the bacterium escherichia coli dna replication is","What is the process of DNA replication in the bacterium Escherichia coli (E. coli)?"
"what food is suitable when weaning","What types of food are recommended (suggested, advised) for babies during weaning (introduction to solids, transitioning from milk)?"
"what does cryptosystem mean","What does a cryptosystem (encryption system, decryption system) mean?"
"what is the GB pound symbol called","What is the name of the GBP (British Pound) currency symbol (£)?"
"laying concrete floor cost","What is the cost (expense, price) of laying (installing, pouring) a concrete floor (slab, foundation)?"
"when did the first oscar ceremony take place","When did the inaugural (first, initial) Academy Awards (Oscars) ceremony occur (take place, happen)?"
"what is the lowest place in north america","What is the lowest elevation (altitude, point) in North America?"
"senior vice president jb hunt salary","What is the average salary of a Senior Vice President (SVP, Executive VP) at JB Hunt (J.B. Hunt Transport Services)?"
"what are the ingredients in thai iced tea","What are the components (ingredients, constituents) of Thai iced tea (cha yen, Thai tea)?"
"who won the yom kippur war of 1973","Who emerged victorious (won, triumphant) in the Yom Kippur War (October War, 1973 Arab-Israeli War) of 1973?"
"who has hit the most doubles in major league baseball history","Who has recorded the most two-base hits (doubles) in Major League Baseball history?"
"what is the level of bachelor's degree in uk","What is the classification (level, standard) of a Bachelor's degree (undergraduate, baccalaureate) in the UK (United Kingdom)?"
"what is pharmacists salary","What is the average salary (compensation, wage) of pharmacists (pharmacy professionals, druggists)?"
"What are some of the features of Wacoal bras and panties?","What are the key characteristics (features, attributes) of Wacoal bras and underwear (lingerie, intimates)?"
"when do you meet the mother in himym","When do you meet the mother (matriarch) in the TV show How I Met Your Mother (HIMYM)?"
"what is the plant called mountain mist","What is the name of the plant known as Mountain Mist (fog, vapor) or is it a type of shrub (bush, flora) called Mountain Mist?"
"which animal is related most closely to the sechura fox pseudalopex sechurae","What animal is most closely related (genetically, phylogenetically) to the Sechura fox (Pseudalopex sechurae, South American grey zorro)?"
"who played gamora in guardians of the galaxy","Who portrayed (played, acted) Gamora in the Marvel movie Guardians of the Galaxy?"
"typical hospital stay after baby circumcision","What is the average (typical, normal) length of hospital stay (recovery time, admission duration) after a baby's circumcision (male infant foreskin removal, newborn surgical procedure)?"
"did war of the world's win any awards","Did ""War of the Worlds"" win any awards (prizes, honors, accolades)?"
"when was the existence of the neutron confirmed","When was the discovery (identification, verification) of the neutron's existence (presence, reality) confirmed (verified, established)?"
"where does the show blue mountain state take place","In what location (setting, site) does the TV show Blue Mountain State take place (occur, happen)?"
"the elements c n and o are contained in","What elements contain carbon (C), nitrogen (N), and oxygen (O)?"
"average salary for a range safety officer","What is the typical (average, median) compensation (salary, wage) for a range safety officer (shooting range officer, firearms safety specialist)?"
"What services does Sanford locksmith FL specialize in?","What services (expertise, specialties) does Sanford locksmith in Florida (FL) specialize in (offer, provide)?"
"what causes lupus","What are the causes (origins, triggers) of lupus (systemic lupus erythematosus, SLE)?"
"What happens to the investment when the government increases its spending in a closed economy according to the IS-LM model?","What is the impact (effect, consequence) of government expenditure (spending, outlay) on investments in a closed economy, as explained by the IS-LM model?"
"when does the next handmaid's tale come out","When is the release date (air date, premiere) of the next season (episode) of The Handmaid's Tale?"
"Who are the main characters in Holly Black's dystopian vampire tale and what is their relationship?","What are the primary protagonists in Holly Black's dystopian vampire narrative and what are their interconnections (bonds, relationships)?"
"who wrote this is a man's world","Who wrote the song ""This Is a Man's World"" (anthem, classic)?"
"how much land did the united states buy from france","What is the total area (size, extent) of land the United States purchased (acquired, bought) from France in the Louisiana Purchase?"
"when did the first cd player come out","When was the first CD (compact disc) player released (launched, introduced)?"
"Who leads the special Jump Street division in the series?","Who is the leader (head, commander) of the special Jump Street task force (unit, team) in the TV series (show, program)?"
"lantana toxic to cats","Is Lantana (shrubs, plants) poisonous (toxic, harmful) to cats (felines, kittens)?"
"what is the name of the cathedral in florence","What is the name of the cathedral (duomo, basilica) in Florence (Firenze), Italy?"
"Who played the role of Caroline Ingalls in 'Little House on the Prairie' and what was her stage name?","Who portrayed (played, acted) Caroline Ingalls in the television series 'Little House on the Prairie' and what was her professional (stage, screen) name?"
"What is the unique plant that Langela found in the nursery?","What is the rare (unusual, exotic) plant species that Langela discovered in the greenhouse (nursery, botanical garden)?"
"What is the Vin001.exe process and what are its effects on a computer system?","What is the Vin001.exe process and what are its impacts (effects, consequences) on a computer system's performance (operation, functionality)?"
"how can a nand gate be used as an inverter","How can a NAND gate be utilized as a NOT gate (inverter, negator)?"
"what is the currency of italy now","What is the current (present, contemporary) official currency (money, tender) of Italy today?"
"what is the highest peak in germany","What is the highest mountain (summit, peak) in Germany?"
"what is manufacturing","What is the definition (meaning, explanation) of manufacturing (production, fabrication, assembly)?"
"History of Microchip Timeline","What is the chronology (timeline, history) of microchip (integrated circuit, semiconductor) development?"
"salary school counselor by in michigan","What is the average salary (compensation, pay) of a school counselor (guidance counselor, educational therapist) in Michigan?"
"What is the main dilemma faced by the flight attendant in the film ""Noodle""?","What is the primary challenge (problem, obstacle) faced by the flight attendant in the movie ""Noodle""?"
"what is refeeding syndrome","What is refeeding syndrome (re-feeding, nutritional rehabilitation) and its symptoms (signs, manifestations)?"
"how old till baby can sleep on stomach","At what age is it safe (recommended) for a baby to sleep on their stomach (prone position)?"
"what is a dnb","What is a DNB (drum and bass, electronic music genre)?"
"marzia name meaning","What is the origin (meaning, significance) of the name Marzia?"
"how long is a minute in pluto","What is the equivalent duration (length, span) of a minute on Earth in terms of time on Pluto?"
"when did one direction audition for x factor","When did One Direction initially audition (try out, appear) for The X Factor?"
"what clean energy does","What role does clean energy (renewable energy, sustainable power) play in reducing carbon footprint (greenhouse gas emissions, climate change)?"
"cost of cooling tower per ton","What is the cost (expense, price) of a cooling tower per ton (capacity, refrigeration ton)?"
"who appeared in commercials for jello branded products","Who starred (appeared, featured) in advertisements (commercials, ads) for Jell-O branded (Jell-O labeled, Jell-O marketed) products?"
"when did america drop the first atomic bomb","When did the United States (America, US) drop the first nuclear (atomic) bomb (nuclear weapon, atomic device)?"
"how big was maria when it hit puerto rico","What was the size (magnitude, scale) of Hurricane Maria when it made landfall (struck, hit) in Puerto Rico?"
"why are some rocks called intermediate rocks","What are intermediate rocks (igneous, sedimentary, metamorphic) called that way, and what are their characteristics (properties, features)?"
"why are there no terrestrial mammals in antarctica today","What are the reasons (causes, explanations) why there are no land (terrestrial) mammals in Antarctica (Antarctic region) at present (currently, today)?"
"how much would it cost to get a starter clutch replaced?","What is the estimated cost (price, expense) of replacing a starter clutch (clutch assembly, clutch kit) in a vehicle?"
"what is ochro","What is ochratoxin (ochro, ochratoxin A, OTA)?"
"on which ideology was the soviet political system based","On what ideological foundation (principles, doctrine) was the Soviet political system based (founded, rooted)?"
"the most important mineral product of northern chile is","What is the most significant (crucial, vital) mineral product of northern Chile, and is it (specifically, precisely)?"
"What is the consequence of combining Viagra with amyl nitrite?","What are the effects (consequences, outcomes) of mixing Viagra with amyl nitrite (poppers, inhalants)?"
"what does *h* stand for in american premium cable and satellite television network *hbo*","What does the abbreviation ""H"" represent in the American premium cable and satellite television network HBO (Home Box Office)?"
"What amenities are included with a 7 night rental at the Allamanda villa?","What facilities (amenities, features) are included with a 7-night stay (rental, booking) at the Allamanda villa?"
"who is the current forest minister of punjab","Who is the present (current, incumbent) Forest Minister of Punjab (India)?"
"When and where is the Hudson High School boys track and field team scheduled to compete?","What is the schedule (timetable, calendar) for the Hudson High School boys' track and field team's competitions (meets, events)?"
"the functional unit of a muscle contraction is","What is the functional unit (basic component, building block) of a muscle contraction, and what is its role in muscle physiology?"
"how to write cpt codes with modifiers","How to assign (write, create) CPT (Current Procedural Terminology) codes with modifiers (adjustments, additions)?"
"where was back to the future three filmed","Where was Back to the Future Part III (three) filmed (shot, recorded, produced)?"
"cost of living in spokane, wa","What is the cost of living (expenses, expenditure) in Spokane, WA (Washington State)?"
"How many diaries has Daily Kos member don corazon published?","How many journals (diaries, blogs) has Daily Kos user Don Corazon authored?"
"how does increased friction affect the actual mechanical advantage of a machine","What is the impact (effect, influence) of enhanced friction on the real (actual, true) mechanical advantage of a machine?"
"how many canadian prime ministers served in the military","How many Canadian prime ministers have served in the armed forces (military, army, navy, air force)?"
"parallel translation definition","What is the definition of parallel translation (simultaneous interpretation, side-by-side translation)?"
"who plays brady on days of our lives","Who portrays (plays, acts) the character Brady Black on the soap opera ""Days of Our Lives""?"
"who sings a little party never killed nobody","Who performs (sings, performs) the song ""A Little Party Never Killed Nobody""?"
"who started the women's suffrage movement in canada","Who initiated (founded, led) the women's suffrage (right to vote, enfranchisement) movement in Canada?"
"when are the vamps releasing their new album","When are The Vamps releasing their new music (record, disc, LP) album?"
"What were the charges against Kodzo Dobosu, the former social services official who was named ""Father of the Year"" in 1983?","What were the allegations (accusations, charges) against Kodzo Dobosu, the former social services official who was named ""Father of the Year"" in 1983?"
"What are the four broad goals of the Army's strategic plan to improve safety?","What are the four primary objectives (aims, targets) of the Army's strategic plan to enhance safety (security, well-being)?"
"how to find the base of a parallelogram","What are the methods (techniques) to determine (calculate, find) the base of a parallelogram (quadrilateral)?"
"what conditions do tsunami occur","Under what circumstances (conditions, situations) do tsunamis occur (happen, take place)?"
"what is riviera maya like","What is the Riviera Maya like (character, atmosphere, vibe)?"
"what is the temperature of a comet","What is the surface temperature (heat, thermal reading) of a comet (icy body, celestial entity)?"
"what is metoprolol succinate","What is metoprolol succinate (medication, drug), and what are its effects (actions, uses)?"
"is the washington monument the tallest monument in the world","Is the Washington Monument the tallest (highest, loftiest) monument (memorial, structure) globally (worldwide, internationally)?"
"where is the blessed sacrament kept in a church","Where is the Blessed Sacrament (Eucharist, Holy Communion) typically reserved or stored in a Catholic church?"
"What was the author's reaction to McCain's statement about Sarah Palin exciting women and bringing them a step forward?","What was the author's response (reaction, opinion) to McCain's comment (statement, remark) about Sarah Palin energizing (exciting, motivating) women and advancing (bringing) them a step forward (empowering, progressing)?"
"when was fluoride added to water in canada","When was fluoride (fluorination, fluoridation) first introduced (added, incorporated) into drinking water (tap water, municipal water supply) in Canada?"
"number of snake bite deaths per year in us","How many fatalities (deaths, mortalities) occur annually in the US due to snake bites (venomous attacks, serpent attacks)?"
"average salary of a coach in texas","What is the average annual compensation (salary, wage) of a sports coach (trainer, instructor) in Texas (TX)?"
"What is the method mentioned in the context to discourage beetles and promote plant growth simultaneously?","What technique is described to deter beetles (insects, pests) and concurrently foster plant development (growth, flourishing)?"
"what is blup","What is Bluprint (Blup, blueprint, diagram, design)?"
"who played billy on who's the boss","What actor (performer, star) played the role of Billy (William) on the TV show ""Who's the Boss?"""
"who was the book of acts written for","Who was the intended audience (target readers, recipients) of the Book of Acts?"
"how many i know what you did last summer films","How many ""I Know What You Did Last Summer"" movie adaptations (films, sequels, remakes) are there?"
"posterior vena cava definition","What is the definition of the posterior vena cava (inferior vena cava, PVC)?"
"where is robert johnson from","What is the birthplace (hometown, origin) of Robert Johnson?"
"what incident lead to the downfall of the knights of labor","What event (incident, occurrence) led to the decline (downfall, collapse) of the Knights of Labor union?"
"Who won the gold medal in the 800-meter freestyle relay at the 2008 Olympics?","What athlete (competitor, winner) earned the gold medal in the 800m freestyle relay event at the 2008 Summer Olympics (Beijing Olympics)?"
"How many aircraft are scheduled to participate on the Hood shot at the Nevada Test Site?","How many airplanes (planes, jets) are scheduled to participate in the Hood event (exercise, operation) at the Nevada Test Site?"
"where was the first modern day olympic games held","In what city (location, venue) was the first modern Olympic Games held (staged, organized) in the modern era?"
"who was the second woman appointed to the supreme court","Who was the second female (woman, lady) justice appointed to the US Supreme Court?"
"how does the gut bacteria work","How do gut microbiota (intestinal flora, gut flora) function?"
"avoidable cost example","What are some examples of unnecessary (avoidable, preventable) expenses (costs, expenditures)?"
"What are some of the Christmas traditions described in the context?","What are some Christmas customs (traditions, practices) described in the context (setting, background)?"
"who is the constitutional presiding officer of the senate","Who is the constitutional presiding officer (chair, leader) of the US Senate (upper chamber, legislative body)?"
"where does the river mersey start","What is the source (origin, beginning) of the River Mersey?"
"who started the construction of qutab minar at delhi","Who commissioned (initiated, founded) the construction of Qutab Minar in Delhi?"
"how to pay tax on a used car","What are the procedures (steps, methods) for paying taxes (levies, duties) on a pre-owned (used, second-hand) vehicle (car, automobile)?"
"what is the deepest part of the detroit river","What is the lowest (deepest, profoundest) point of the Detroit River?"
"what episode is the family guy american dad crossover","What episode features the crossover (intersection, collaboration) between Family Guy and American Dad?"
"how much for a new furnace","What is the average cost (price, expense) of a new furnace (heating system, boiler)?"
"who were the sons of liberty and what was their purpose","Who were the Sons of Liberty and what was their objective (goal, mission, aim)?"
"what is the mother country of new york","What is the original country (homeland, nation of origin) of the founders of New York?"
"who played tonto in the original lone ranger series","Who portrayed (played, acted) Tonto in the classic (original, vintage) Lone Ranger television series?"
"how long does it take for a apple core to decompose","What is the decomposition time (duration, timeframe) for an apple core to biodegrade (break down, rot)?"
"Who is Jonjo Heuerman and what is he known for?","Who is Jonjo Heuermann and what is he famous (noted, renowned) for?"
"what is fig","What is a fig (fruit, produce) and its nutritional (health, dietary) benefits?"
"when did the book wrinkle in time come out","When was the book ""A Wrinkle in Time"" (novel, story) by Madeleine L'Engle published (released, launched)?"
"how much is occupational therapy per hour","What is the average cost (price, fee) of occupational therapy sessions per hour?"
"What is the main topic of the talk in the Isaac Newton Institute Seminar Series?","What is the primary subject (theme, focus) of the lectures (presentations, discussions) in the Isaac Newton Institute Seminar Series?"
"who has held chief minister office for longest period of time","Who has held the chief minister (head of government, premier) office for the longest duration (period, tenure) of time?"
"when did the dsm iv tr come out","What is the publication date of the DSM-IV-TR (Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, Text Revision)?"
"when did the panama canal started being built","When was the construction (building, development) of the Panama Canal initiated (started, begun)?"
"when did look at me by x come out","When was the release date of ""Look at Me"" by X (album, song, track)?"
"who wrote the first letter we know of containing the full 27 books","Who authored the earliest known letter (epistle, correspondence) that mentions the complete 27 books (scriptures, biblical canon) of the New Testament?"
"Who was the CEO of JoinPad during the event at Talent Garden Calabiana, Milan?","Who was the CEO of JoinPad during the conference (event, meeting) at Talent Garden Calabiana, Milan?"
"What changes were made to the UUA presidential election system by the General Assembly in 2010?","What reforms (modifications, amendments) were implemented to the UUA presidential election process (system, procedure) by the General Assembly in 2010?"
"when did the human settlements came about in the nile valley","When did human settlements (communities, habitations) emerge in the Nile Valley (Nile River region, ancient Egypt)?"
"how much does it cost to join bni","What is the membership fee (cost, price, dues) to join BNI (Business Networking International)?"
"What is the supreme authority in India and England according to the context?","What is the highest authority (supreme power, ultimate jurisdiction) in India and England according to the context (situation, circumstance)?"
"What is the rating of the Cheap School Movie Review based on customer reviews?","What is the customer review-based rating of the low-budget (inexpensive, affordable) educational film ""School Movie""?"
"mineral composition of dolerite is similar to what other rocks","What is the mineral composition of dolerite similar to in other rocks (stones, minerals)?"
"who sang the song gran torino in the movie","Who performed (sang, recorded) the song ""Gran Torino"" in the film (movie, picture)?"
"how does a fennec fox get its food","How do fennec foxes obtain (acquire, procure) their nutrition (food, sustenance)?"
"what does inr measure","What does the International Normalized Ratio (INR) measure in blood clotting (coagulation) tests?"
"what causes recurrent urine infections","What are the causes (origins, triggers) of recurrent (frequent, repeated) urinary tract infections (UTIs, bladder infections, cystitis)?"
"what is nephropathy","What is nephropathy (kidney disease, renal disease)?"
"common symptoms of hepatitis A","What are the typical signs (symptoms, indicators) of hepatitis A infection (disease, illness)?"
"what is nettle tea good for","What are the health benefits (advantages) of drinking nettle tea (Urtica dioica tea, herbal infusion)?"
"is blackhawk and central city the same place","Are Blackhawk and Central City identical (same, one and the same) locations (places, areas, municipalities)?"
"Where is Allison Park located?","What is the location (position, site) of Allison Park?"
"What is the corrective that Liberation Theology brings to entitlement theology and prosperity theology?","What corrective measures (solutions, remedies) does Liberation Theology offer to counterbalance (challenge, reform) entitlement theology and prosperity theology?"
"when is the america's got talent finale 2018","When is the America's Got Talent season finale (last episode, final show) for 2018?"
"who sings the dumb ways to die song","Who performs (sings, artists) the song ""Dumb Ways to Die""?"
"who created the mouse that is used on millions of computers today","Who invented the computer mouse (pointing device) used by millions of people worldwide today?"
"what is the basic salary for an estate agent","What is the average (basic, minimum) salary for a real estate agent (property agent, Realtor)?"
"What are the sectors that the France-headquartered investment facilitation firm is interested in for investment in Ghana?","What industries (sectors, fields) does the France-based investment facilitation company focus on for investment opportunities in Ghana?"
"how far is summerville south carolina from charleston","What is the distance (proximity) between Summerville, South Carolina and Charleston, SC?"
"when does the new bring it come on","When does the new season of ""Bring It!"" (TV show) premiere (start, air)?"
"What was the pre-tax income of FBR & Co. for the first quarter of 2017?","What was the pre-tax revenue (earnings, income) of FBR & Co. for Q1 (first quarter) of 2017?"
"how many books are in the lord of rings","What is the total number of books (volumes, novels) in The Lord of the Rings trilogy (series, saga)?"
"what causes aggression biologically","What are the biological (physiological, neurological) roots (causes, origins) of aggression (hostility, belligerence)?"
"what is the goal of the palestine liberation organization","What is the objective (purpose, aim) of the Palestine Liberation Organization (PLO)?"
"what season is the chocolate episode of spongebob","In what season of SpongeBob SquarePants is the ""Chocolate with Nuts"" episode?"
"was lucy and ricky married in real life","Were Lucille Ball and Desi Arnaz married in reality (real life, actual life)?"
